BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;3;5581778285998;16383;16383;0x4480
0;3;5625389771999;4330;4494;0x4000
0;3;5633501517999;2578;2882;0x4000
0;3;5659178207999;2593;2917;0x4000
0;3;5706041237998;81;538;0x4000
0;3;5972968141998;681;1129;0x4000
0;3;6019770341999;444;889;0x4000
0;3;6060962957998;3855;4085;0x4000
0;3;6069922279999;988;1397;0x4000
0;3;6111484155999;2405;2740;0x4000
0;3;6139248159998;6969;6784;0x4000
0;3;6220926853998;4666;4792;0x4000
0;3;6264465573999;16383;16383;0x4480
0;3;6293832967998;2099;2457;0x4000
0;3;6308836809998;16383;16383;0x4480
0;3;6383770831999;4301;4442;0x4000
0;3;6523287499999;10383;9596;0x4000
0;3;6524772517999;2737;3061;0x4000
0;3;6529354891999;12964;11859;0x4000
0;3;6701752903998;13687;12406;0x4000
0;3;6773175375998;758;1161;0x4000
0;3;6810105151998;2852;3147;0x4000
0;3;6815095539998;1843;2215;0x4000
0;3;6855076299999;2072;2382;0x4000
0;3;6856977821999;2116;2466;0x4000
0;3;6876796571998;1269;1659;0x4000
0;3;6946646703999;7105;6896;0x4000
0;3;6982554529998;15419;13856;0x4000
0;3;6982973143999;1403;1799;0x4000
0;3;6986649767998;248;702;0x4000
0;3;7018299647999;4554;4686;0x4000
0;3;7141192463999;6275;6172;0x4000
0;3;7150008965999;2287;2657;0x4000
0;3;7167814199998;16383;16383;0x4080
0;3;7179754117998;8688;8293;0x4000
0;3;7220953711999;2779;3064;0x4000
0;3;7227378179998;1447;1872;0x4000
0;3;7258663435999;2795;3050;0x4000
0;3;7265251879998;216;642;0x4000
0;3;7281777479998;359;805;0x4000
0;3;7317360085998;6465;6366;0x4000
0;3;7325918983999;16383;109;0x4080
0;3;7340602471998;16383;16383;0x4080
0;3;7356003423999;13135;11959;0x4000
0;3;7390004013998;1592;1986;0x4000
0;3;7579171435998;2362;2698;0x4000
0;3;7581092927999;3533;3769;0x4000
0;3;7616676295999;1367;1772;0x4000
0;3;7643159995998;3419;3647;0x4000
0;3;7724729749999;7435;7154;0x4000
0;3;7767003883999;3817;3989;0x4000
0;3;7768923053998;4112;4270;0x4000
0;3;7777865251998;3900;4115;0x4000
0;3;7824572371999;7260;7009;0x4000
0;3;7834772965998;1431;1836;0x4000
0;3;7848798453998;16383;172;0x4080
0;3;7906891665998;9069;8590;0x4000
0;3;7909400167998;7452;7201;0x4000
0;3;7917027397999;1678;2077;0x4000
